"filename", "language", "XML", "Java", "Java Properties", "Markdown", "YAML", "comment", "blank", "total"
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/LastItemsFree.class", "Java", 0, 52, 0, 0, 0, 6, 0, 58
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/commands/ArgSuggest.class", "Java", 0, 24, 0, 0, 0, 0, 0, 24
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/commands/MainCommand.class", "Java", 0, 138, 0, 0, 0, 0, 0, 138
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/ConfigManager$1.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/ConfigManager.class", "Java", 0, 32, 0, 0, 0, 0, 0, 32
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/ConfigType.class", "Java", 0, 17, 0, 0, 0, 0, 0, 17
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/LogLevelSettings.class", "Java", 0, 11, 0, 0, 0, 0, 0, 11
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MainConfig.class", "Java", 0, 36, 0, 0, 0, 0, 0, 36
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig$ActionError.class", "Java", 0, 8, 0, 0, 0, 0, 0, 8
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig$General.class", "Java", 0, 12, 0, 0, 0, 0, 0, 12
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig$Give.class", "Java", 0, 12, 0, 0, 0, 0, 0, 12
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig$ListCmd.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig$Take.class", "Java", 0, 12, 0, 0, 0, 0, 0, 12
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/MessagesConfig.class", "Java", 0, 23, 0, 0, 0, 0, 0, 23
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/config/models/ModulesSettings.class", "Java", 0, 38, 0, 0, 0, 0, 0, 38
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/debug/DebugLogger.class", "Java", 0, 36, 0, 0, 0, 0, 0, 36
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/debug/DebugType.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/hooks/PlaceHook.class", "Java", 0, 55, 0, 0, 0, 0, 0, 55
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/ActionNode.class", "Java", 0, 49, 0, 0, 0, 0, 0, 49
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/ActionTrigger.class", "Java", 0, 28, 0, 0, 0, 0, 0, 28
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/CustomItem.class", "Java", 0, 30, 0, 0, 0, 0, 0, 30
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/ItemLoader.class", "Java", 0, 85, 0, 0, 0, 0, 0, 85
"/home/last/Рабочий стол/LastPlugins/My Plugins/LastItems Free/build/classes/java/main/ru/last/lastitems/item/ItemRegistry.class", "Java", 0, 39, 0, 0, 0, 0, 0, 39
